                Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
 7/18/15 12:21a   69.3   69.3   69.3    74   60.7   6.0   NNE   0.10  11.0   NNE   69.3   70.1   70.1   68.0  29.598  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    47   60.1   82.7   8.60  .0712    0.000    24    1    100.0    1 
 7/18/15 12:22a   69.3   69.4   69.3    73   60.3   6.0   NNW   0.10  10.0   NNW   69.3   70.0   70.0   67.9  29.596  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:23a   69.4   69.4   69.3    74   60.8   6.0     W   0.10  14.0   NNE   69.4   70.1   70.1   68.0  29.595  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:24a   69.3   69.4   69.3    73   60.3   7.0   WNW   0.12  11.0   NNW   69.3   70.0   70.0   67.9  29.596  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:25a   69.4   69.4   69.3    73   60.4   5.0     N   0.08   8.0   NNW   69.4   70.0   70.0   67.9  29.594  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:26a   69.4   69.4   69.3    73   60.4   5.0     N   0.08  11.0     N   69.4   70.0   70.0   67.9  29.596  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:27a   69.4   69.4   69.3    73   60.4   7.0    NW   0.12  15.0   NNE   69.4   70.0   70.0   67.9  29.597  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:28a   69.4   69.4   69.3    73   60.4   6.0    NW   0.10   9.0    NW   69.4   70.0   70.0   67.9  29.596  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.3    46   59.4   82.5   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:29a   69.3   69.4   69.3    73   60.3   8.0     N   0.13  11.0     N   68.7   70.0   69.4   67.4  29.596  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:30a   69.4   69.4   69.4    73   60.4   4.0     N   0.07  12.0     N   69.4   70.0   70.0   67.9  29.595  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:31a   69.4   69.4   69.3    73   60.4   5.0   WSW   0.08  12.0   NNE   69.4   70.0   70.0   67.9  29.595  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:32a   69.4   69.4   69.4    73   60.4   5.0     N   0.08   8.0     N   69.4   70.0   70.0   67.9  29.594  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:33a   69.4   69.4   69.4    73   60.4   3.0   NNW   0.05   7.0   NNW   69.4   70.0   70.0   67.9  29.592  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:34a   69.4   69.4   69.4    73   60.4   3.0    NW   0.05   6.0    NW   69.4   70.0   70.0   67.9  29.592  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:35a   69.4   69.4   69.4    73   60.4   8.0     N   0.13  13.0    NE   68.8   70.0   69.4   67.4  29.593  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:36a   69.4   69.4   69.4    73   60.4   5.0     N   0.08   9.0   NNE   69.4   70.0   70.0   67.9  29.590  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:37a   69.4   69.4   69.4    72   60.0   6.0   NNW   0.10  10.0   NNW   69.4   69.9   69.9   67.7  29.589  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:38a   69.4   69.4   69.4    73   60.4   4.0   NNE   0.07  10.0     N   69.4   70.0   70.0   67.9  29.589  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:39a   69.4   69.4   69.4    73   60.4   5.0   WSW   0.08  10.0   NNW   69.4   70.0   70.0   67.9  29.589  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:40a   69.4   69.4   69.3    73   60.4   8.0   NNW   0.13  15.0    NW   68.8   70.0   69.4   67.4  29.589  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:41a   69.4   69.4   69.3    73   60.4   6.0     N   0.10   9.0    NW   69.4   70.0   70.0   67.9  29.591  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:42a   69.4   69.4   69.3    72   60.0   4.0   NNW   0.07   7.0     N   69.4   69.9   69.9   67.7  29.592  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:43a   69.4   69.4   69.3    73   60.4   6.0   NNW   0.10  12.0   NNW   69.4   70.0   70.0   67.9  29.592  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:44a   69.4   69.4   69.4    72   60.0   4.0   NNE   0.07   6.0   NNE   69.4   69.9   69.9   67.7  29.592  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:45a   69.4   69.4   69.3    72   60.0   5.0   WNW   0.08   8.0     N   69.4   69.9   69.9   67.7  29.591  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    24    1    100.0    1 
 7/18/15 12:46a   69.4   69.4   69.4    73   60.4   4.0   WNW   0.07   8.0     N   69.4   70.0   70.0   67.9  29.591  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
 7/18/15 12:47a   69.4   69.4   69.4    73   60.4   6.0     N   0.10  10.0   NNW   69.4   70.0   70.0   67.9  29.590  0.00  0.00     0     0.00      0     0.0  0.00   0.0   0.000   0.003   82.2    46   59.4   82.4   8.45  .0712    0.000    23    1    100.0    1 
